STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT16,WT17,WT18,WT19,WT22
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/1/2008,,,,,,0.06,0,0,,43,32,43,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/2/2008,,,,,,0.77,0,0,,49,40,42,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/3/2008,,,,,,0.45,0,0,,48,41,48,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/4/2008,,,,,,0.38,0,0,,49,41,49,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/5/2008,,,,,,0.8,0,0,,49,38,43,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/6/2008,,,,,,0.44,0,0,,46,32,37,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/7/2008,,,,,,0.52,0,0,,40,31,36,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/8/2008,,,,,,0.56,0,0,,46,34,40,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/9/2008,,,,,,0.34,0,0,,47,35,40,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/10/2008,,,,,,0.75,0,0,,49,37,49,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/11/2008,,,,,,0.9,0,0,,50,43,46,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/12/2008,,,,,,0.57,0,0,,49,43,48,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/13/2008,,,,,,0.1,0,0,,51,39,43,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/14/2008,,,,,,0.02,0,0,,49,35,42,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/15/2008,,,,,,0.8,0,0,,47,35,40,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/16/2008,,,,,,0,0,0,,44,30,35,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/17/2008,,,,,,0,0,0,,41,30,37,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/18/2008,,,,,,0,0,0,,43,29,32,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/19/2008,,,,,,0.1,0,0,,43,32,43,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/20/2008,,,,,,0.09,0,0,,44,37,40,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/21/2008,,,,,,0,0,0,,43,28,32,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/22/2008,,,,,,0,0,0,,39,26,32,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/23/2008,,,,,,0,0,0,,40,29,35,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/24/2008,,,,,,0,0,0,,43,28,35,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/25/2008,,,,,,0,0,0,,43,27,33,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/26/2008,,,,,,0,0,0,,42,27,35,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/27/2008,,,,,,0.38,0,0,,41,31,34,,,,,,,,,,,,,,,,,,,,,
USC00353014,"FORT CLATSOP NATIONAL MEM., OR US",CLATSOP,46.1358,-123.8783,12.8,1/28/2008,,,,,,0.15,0,0,,40,31,34,,,,,,,,,,,,,,,,,,,,,
