STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WESF,WT01,WT03,WT04,WT11
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/1/2008,,,,,,0.06,0,0,,41,29,32,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/2/2008,,,,,,0,0,0,,37,26,30,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/3/2008,,,,,,0.04,0,0,,36,27,32,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/4/2008,,,,,,0.29,0,0,,36,29,34,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/5/2008,,,,,,0.11,0,0,,45,29,39,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/6/2008,,,,,,0.05,0,0,,47,29,37,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/7/2008,,,,,,0.1,0,0,,40,30,36,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/8/2008,,,,,,0.72,,6,,41,29,33,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/9/2008,,,,,,0.78,0,1,,37,29,37,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/10/2008,,,,,,0.48,0,1,,40,39,35,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/11/2008,,,,,,0.56,0,0,,45,32,44,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/12/2008,,,,,,0.38,0,0,,44,30,39,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/13/2008,,,,,,0.06,0,0,,47,29,34,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/14/2008,,,,,,0.03,0,0,,49,30,35,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/15/2008,,,,,,0.33,0,0,,44,32,36,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/16/2008,,,,,,0,0,0,,43,21,25,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/17/2008,,,,,,0,0,0,,40,22,36,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/18/2008,,,,,,0,0,0,,42,24,28,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/19/2008,,,,,,0,0,0,,40,20,28,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/20/2008,,,,,,0.08,0,0,,46,25,35,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/21/2008,,,,,,0,0,0,,39,19,26,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/22/2008,,,,,,0,0,0,,34,15,18,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/23/2008,,,,,,0,0,0,,32,13,19,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/24/2008,,,,,,0,0,0,,32,15,19,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/25/2008,,,,,,0,0,0,,30,10,13,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/26/2008,,,,,,0,0,0,,38,10,25,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/27/2008,,,,,,0.55,,15,,30,22,31,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/28/2008,,,,,,0.06,0,1,,36,22,30,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/29/2008,,,,,,0.41,0,1,,40,26,34,,,,,,,
USC00354003,"HOOD RIVER EXPERIMENT STATION, OR US",HOOD RIVER,45.6847,-121.5175,152.4,1/30/2008,,,,,,0.31,0,1,,43,29,34,,,,,,,
