STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT05,WT06,,
USC00350265,"ARLINGTON, OR US",10/30/21,,,0,,,60,36,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/29/21,,,0,,,68,51,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/28/21,,,0,,,62,52,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/27/21,,,0,,,66,47,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/26/21,,,0,,,64,38,47,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/25/21,,,0.17,,,64,38,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/24/21,,,0.16,,,65,46,51,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/23/21,,,0,,,61,45,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/22/21,,,0.24,,,70,45,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/21/21,,,0,,,68,44,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/20/21,,,0.02,,,64,40,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/19/21,,,0,,,66,38,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/18/21,,,0,,,64,44,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/17/21,,,0,,,67,44,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/16/21,,,0,,,70,42,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/15/21,,,0,,,64,45,51,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/14/21,,,0,,,59,46,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/13/21,,,0.03,,,60,40,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/12/21,,,0,,,63,35,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/11/21,,,0,,,63,44,47,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/10/21,,,0,,,66,49,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/9/21,,,0,,,68,41,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/8/21,,,0,,,66,40,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/7/21,,,0,,,66,39,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/6/21,,,0,,,70,47,48,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/5/21,,,0,,,69,48,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/4/21,,,0,,,80,50,57,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/3/21,,,0,,,75,44,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/2/21,,,0,,,71,42,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",10/1/21,,,0.05,,,77,48,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/30/21,,,0,0,0,71,47,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/29/21,,,0,0,0,67,47,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/28/21,,,0.26,0,0,69,52,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/27/21,,,0,0,0,83,63,64,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/26/21,,,0,0,0,87,53,64,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/25/21,,,0,0,0,84,52,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/24/21,,,0,0,0,79,48,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/23/21,,,0,0,0,77,52,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/22/21,,,0,0,0,80,49,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/21/21,,,0,0,0,74,42,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/20/21,,,0,0,0,70,53,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/19/21,,,0.04,0,0,69,51,57,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/18/21,,,0,0,0,78,55,60,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/17/21,,,0,0,0,71,46,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/16/21,,,0,0,0,76,45,48,,,,,,,,
