STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/1/2008,,,0,0,0,,49,42,47,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/2/2008,,,0.95,0,0,,50,38,46,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/3/2008,,,0.55,0,0,,53,46,50,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/4/2008,,,0.9,0,0,,53,47,49,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/5/2008,,,0.75,0,0,,48,41,39,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/6/2008,,,0.65,0,0,,46,36,41,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/7/2008,,,0.75,0,0,,42,34,40,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/8/2008,,,0.85,0,0,,50,39,49,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/9/2008,,,0.6,0,0,,45,39,42,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/10/2008,,,0.55,0,0,,52,45,51,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/11/2008,,,0.55,0,0,,51,47,50,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/12/2008,,,0.1,0,0,,53,46,48,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/13/2008,,,0,0,0,,54,39,44,,
USC00351682,"CLOVERDALE, OR US",TILLAMOOK,45.205,-123.8925,3.7,1/14/2008,,,0.8,0,0,,51,36,48,,
